Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz.
Vardas0        Pavarde0       1    6    4    4    8    8    1    5    7    1    10
Vardas1        Pavarde1       9    3    3    4    2    6    3    3    3    9    6
Vardas2        Pavarde2       5    3    10   8    2    2    10   4    5    8    10
Vardas3        Pavarde3       7    10   9    4    1    5    1    3    8    5    6
Vardas4        Pavarde4       9    9    2    5    5    9    4    2    10   9    5
Vardas5        Pavarde5       4    8    5    8    6    8    8    5    3    8    8
Vardas6        Pavarde6       1    1    6    9    6    5    10   1    5    4    5
Vardas7        Pavarde7       4    1    3    10   2    9    5    9    8    3    6
Vardas8        Pavarde8       7    1    3    10   8    7    4    8    2    5    1
Vardas9        Pavarde9       9    6    2    7    7    3    6    2    10   4    5
Vardas10       Pavarde10      5    9    9    2    6    3    3    1    10   8    9
Vardas11       Pavarde11      3    1    5    2    9    2    3    5    1    8    7
Vardas12       Pavarde12      6    5    5    1    5    3    4    7    6    8    8
Vardas13       Pavarde13      2    6    9    5    9    8    7    8    1    7    2
Vardas14       Pavarde14      2    6    8    3    7    9    4    7    4    3    3
Vardas15       Pavarde15      9    3    4    7    7    9    7    1    1    2    8
Vardas16       Pavarde16      9    7    10   5    1    1    5    8    1    4    8
Vardas17       Pavarde17      6    2    4    8    10   7    10   10   9    8    9
Vardas18       Pavarde18      8    7    5    2    6    4    6    1    9    9    1
Vardas19       Pavarde19      4    7    7    5    9    3    4    10   1    4    1
Vardas20       Pavarde20      9    8    6    10   1    9    1    5    6    2    9
Vardas21       Pavarde21      4    2    9    4    9    4    8    4    10   7    2
Vardas22       Pavarde22      8    1    2    1    8    2    7    10   8    1    4
Vardas23       Pavarde23      4    10   9    6    3    1    9    4    8    3    10
Vardas24       Pavarde24      6    6    7    1    7    5    8    4    2    8    6
Vardas25       Pavarde25      9    2    8    3    10   3    6    3    8    7    4
Vardas26       Pavarde26      2    2    10   4    4    4    5    1    2    6    6
Vardas27       Pavarde27      4    7    7    10   9    5    5    8    7    4    8
Vardas28       Pavarde28      3    2    3    8    2    10   8    1    9    8    6
Vardas29       Pavarde29      1    2    3    1    3    10   7    10   8    6    6
Vardas30       Pavarde30      4    7    10   7    10   5    2    2    5    8    10
Vardas31       Pavarde31      1    4    9    4    6    10   8    1    5    7    5
Vardas32       Pavarde32      2    8    5    8    5    4    7    2    8    10   7
Vardas33       Pavarde33      9    8    6    4    3    1    4    2    6    1    7
Vardas34       Pavarde34      3    4    7    3    4    6    9    5    5    10   10
Vardas35       Pavarde35      6    8    5    9    4    3    4    1    8    1    5
Vardas36       Pavarde36      8    6    4    2    8    8    8    2    6    7    3
